Filename,AbsDev_1st_MFCC,AbsDev_2nd_MFCC,Ratio_2nd_to_1st
Raat Akeli Hai - Song  Jewel Thief (1967)_MFCC.csv,12.452419514273808,6.878573178498999,0.5523884872826772
Rangeela Re-Prem Pujari 1970-Full HD Video song- Dev Anand-Waheeda Rehman_MFCC.csv,9.52201206659308,6.473439648633206,0.6798394712546678
"Sapna Mera Toot Gaya - Asha Bhosle, R D  Burman @ Rishi Kapoor, Neetu Singh_MFCC.csv",9.569594638775271,6.454130932630595,0.6744414132735514
"Shaam Hai Dhuan Dhuan (HD)  Ajay Devgn, Madhoo  Diljale Song  Poornima  90s Superhit Dance Song_MFCC.csv",23.61742993728432,11.690407018041306,0.4949906509338646
Tanha Tanha Yahan Pe Jeena  Urmila Matondkar  Jackie Shroff  Asha Bhosle  Rangeela  90's Songs_MFCC.csv,21.965996968570288,7.921739429472881,0.3606364619282968
Teesri Manzil - Aaja Aaja_MFCC.csv,12.403746412770149,5.589207825389651,0.4506064248165651
"Tum Jo Mil Gaye Ho To Yeh Lagta Hai 4K  Mohammed Rafi, Lata Mangeshkar  Hanste Zakham Songs_MFCC.csv",9.321424969235983,5.318849439278784,0.5706047580528598
Ye Hai Reshmi Zulfon Ka Andhera  Mere Sanam (1965)  Mumtaz  Asha Bhosle  Filmi Gaane_MFCC.csv,14.858072930586152,7.2940664276625755,0.490916046901839
Yeh Mera Dil Yaar Ka Diwana  Don  Amitabh Bachchan & Zeenat Aman  Asha Bhosle_MFCC.csv,12.274187502846084,5.126936454159814,0.4177006790038854
Zindagi Ek Safar Hai Suhana (Female)  Andaz (1971)  Hema Malini  Shammi Kapoor  Hindi Song_MFCC.csv,15.36521624310667,6.5545427828093255,0.42658317846648625
[4K] आ ज़रा मेरे हम नशीन थाम ले - Full Video  Mohammed Rafi  Poonam Film Songs  Hindi Purane Songs_MFCC.csv,8.597848010684954,6.937642087671955,0.8069044811039016
"छोड़ दो आँचल ज़माना - Chhod Do Aanchal Zamana -  HD वीडियो सोंग - आशा भोंसले, किशोर कुमार_MFCC.csv",16.77791790387453,10.983356845993224,0.6546316955965575
मैं तो बेघर हूँ  Main To Beghar Hoon  Suhaag 1979 Songs  Asha Bhosle  Shashi Kapoor  Evergreen_MFCC.csv,11.335644018094024,6.423198060047128,0.5666372417653889
