mean_mfcc1,mean_mfcc2,mean_mfcc3,mean_delta_mfcc1,mean_delta2_mfcc1,std_mfcc1,std_mfcc2,std_mfcc3,std_delta_mfcc1,std_delta2_mfcc1,rms_mfcc1,rms_mfcc2,rms_mfcc3,Class
-255.81582941874373,185.22384497481184,-33.367022681918044,0.003903104313331978,0.0031381712532598956,65.28339272125038,50.954471813394015,22.88818942740358,4.018546143918964,2.129877815373023,264.01450707564686,192.1047395173661,40.46266696499803,2
-163.64940228105831,145.4377780668368,-51.01419521461219,4.020984937228233e-05,1.1438788302150422e-06,77.88499585052575,29.25657868310471,20.69010479449412,9.420643559630916,4.744957969432457,181.23796358816236,148.35125441080427,55.05023660077865,2
-275.8111309280366,194.9096191754749,-66.45213055545487,0.014522800880332414,-0.0004935139025251282,46.57021044214136,20.06342335767612,27.15052674793236,5.539435395785874,2.929331856252764,279.71514875749557,195.9395330298559,71.78465544982026,2
-193.87970832559347,209.99076362322387,-41.409056730722924,0.0005886089138226777,-0.0002939204540792981,52.319143115945764,23.839360635245868,34.484868123955806,6.38536972079705,3.130608445604653,200.81492483579007,211.3396222258429,53.88799596250404,2
-226.37897972969196,186.4107429494095,-81.52634826347534,0.010919629654751305,0.0019043130434541224,42.74201145820388,18.721193306650594,20.897193277051677,5.734080354972695,2.985108872879349,230.37864919942024,187.34846720957128,84.16197566618742,2
-256.70928506627723,180.58796012609898,-19.292628149356872,0.004090411031229819,0.0014883235976900049,61.934363485781496,36.250540859407295,25.33225046365059,6.454581549510077,3.349343353812419,264.07484245877737,184.1904260679829,31.84224261044568,2
-204.29121201758286,189.4958347285111,-46.417433461693065,0.0015157396742299092,0.0013779451583873722,92.66981407755753,61.408292088841,31.48353687456292,5.207997763561481,2.6064172289310523,224.32697953831163,199.19751433369748,56.08735350596127,2
-140.99980762564988,147.52116263902997,-54.71948799034543,0.00785742419902702,-0.0011760328754624864,49.3672387134964,24.847516878222272,31.155535204345252,6.171619847231457,3.2375847473745427,149.3923358431269,149.59910601799956,62.967370437352336,2
-220.90823939699305,116.29326018194317,-21.6782556769208,0.0008248504395350974,0.0007498640359377109,94.49168669271184,38.40100850593414,19.95558727352605,7.476593374636234,3.9386726514570456,240.26886832778152,122.46942401276308,29.464762558440274,2
-156.80874668843947,167.13228082025964,-15.553408605584751,0.008313799435364195,0.0002930153750134561,52.614046987095726,24.533162668901735,30.40025371122263,7.504037074109484,3.9649276822402473,165.40018433592962,168.9232824767531,34.147971315423455,2
