mean_mfcc1,mean_mfcc2,mean_mfcc3,mean_delta_mfcc1,mean_delta2_mfcc1,std_mfcc1,std_mfcc2,std_mfcc3,std_delta_mfcc1,std_delta2_mfcc1,rms_mfcc1,rms_mfcc2,rms_mfcc3,Class
-136.08823050607967,139.93409458974938,-10.686944018599949,0.00263093351968366,0.0001508850832353959,63.81411112935733,26.65276912602932,15.396331420689606,7.530478600747663,4.321664546489467,150.30717634732494,142.44971369131756,18.741872736533114,3
-42.8722990023061,131.52353233715846,-33.55791786229303,0.003921759380068893,0.0009808525448664572,53.81669599203936,29.262946350628294,20.851374695443006,8.531402668419336,4.717902798989247,68.8060374476159,134.73959918139622,39.50840009342528,3
-252.04461838537588,136.63421780224667,-26.522021676541282,0.027744144091467117,-0.0003713172526867152,92.9022227143068,37.42727378755773,37.450927959081426,11.88063928038215,6.030201744440186,268.621132158824,141.6676049688163,45.8910627334695,3
-190.57182364762872,161.4436680283784,-18.977238293141458,0.06259651780554208,-0.007546646241318577,68.89122345120695,26.610837706465407,22.838096421537944,7.995048657911864,3.6334990827210984,202.641606381777,163.6221092331262,29.693673086941242,3
-200.56863914157563,146.4062383238437,-26.998344224424006,0.003083429629484287,0.00038714339226994147,63.291248248927275,27.55011976733308,19.33338728018892,9.28589276066827,5.040761229972195,210.31776223612434,148.9758225999525,33.20678326165092,3
-158.23215944620443,114.658125147221,-38.50771951585523,0.004656004067169926,0.0004957442509640025,87.79310606766492,36.49375167768036,28.810910835105283,7.343351868251018,3.30216522830051,180.95592213579891,120.32572282678375,48.09275460461965,3
-241.6246079900662,154.28634385487356,-54.72557208960741,0.00044266036524265865,8.284259987089177e-06,65.69855159587026,28.804496026781017,25.251924827677684,6.468836981562855,3.0558293250915765,250.39718622250612,156.95214204164634,60.270622595403,3
-178.4947089518574,143.58796752145662,1.6543922511756264,0.007679483757191037,0.0007917580790362743,80.07135271600666,31.759809672963716,26.173839355276986,5.571237816690185,2.674263669418475,195.63175266193224,147.05845751742999,26.226072529385643,3
-263.4050704984301,191.70897565880546,-78.72198612893857,0.0010027626896921557,-0.0049294447651952004,44.95762195525904,23.94061355593739,21.177546516880764,5.7248855801185305,3.489965809747177,267.2141817646566,193.19804431096915,81.52079229595014,3
-173.7691906637061,151.90090370900285,-17.41183527017174,0.033068800282600536,0.0019318648571160029,54.669322086670746,23.53162092273428,19.38376952257119,6.088443367448954,3.5250640333015473,182.16604074671983,153.7127897439345,26.055758065728124,3
-286.1306300719792,184.03937917023285,-44.36131666055689,9.882312435681696e-16,-3.661360425389054e-15,85.77937433325211,42.18840271335162,28.248373383671456,5.001263637775482,2.766155294150495,298.7119658239221,188.81301440543942,52.59179607772985,3
-280.94734438810036,171.47588768393933,-45.94221811269881,0.008291758377082983,0.0005827477435353571,112.38671938069004,42.84429763264684,46.38385279130782,11.626138566846121,5.50808498396052,302.5924404407351,176.74731651889317,65.2851377028532,3
-206.0338636258311,115.43409987916642,-49.666401873570194,0.0051610857735660265,0.004041989070011394,77.96905005012972,32.0399978548483,24.791729001489934,10.870355445027785,5.773129431599697,220.29327208588828,119.79813386464772,55.510190973822944,3
-157.59767295274202,106.03001809086896,-31.53487464858135,-0.0052611809379940625,-0.0005206942829886337,114.92412649855706,33.77530436985196,34.04480732607961,12.520947353442379,6.399517255877184,195.0502021828631,111.27953954625326,46.405788701105195,3
-118.24675324784688,137.67417229272695,-22.29343990310083,-0.0003860070710106334,-0.0008054613960534236,74.29287281331389,25.336222018483237,18.358987993258335,7.3394632803308895,3.3605992212676044,139.64857895629453,139.98607738863655,28.879922140645945,3
