mean_mfcc1,mean_mfcc2,mean_mfcc3,mean_delta_mfcc1,mean_delta2_mfcc1,std_mfcc1,std_mfcc2,std_mfcc3,std_delta_mfcc1,std_delta2_mfcc1
-237.71866170242603,158.86237878021274,1.7551886788790045,0.0004453905210367277,0.0002836765650122327,82.45983995181794,35.9226368616002,23.359647293219556,5.466544729806904,3.067556807242921
-235.8437244865099,147.083847112642,-8.683155704544196,0.00016808092245537652,2.3599337957908985e-05,97.00935922427574,31.501939900374555,21.783388118168002,4.42374409396118,2.019746749539676
-150.18066295874812,126.28624116837452,-45.66007227126532,2.498644543859724e-06,-1.3216793988290934e-06,108.30337039073132,35.745359870220256,28.293078085749137,17.487113841341678,9.32052589143732
-250.22952076105963,91.38764727546018,-51.73082091670024,8.689743106306445e-16,-3.542483887044361e-15,98.55777794233244,32.53701079606688,25.438076815070687,7.630486144662972,5.091499274287462
-254.27760420761146,204.5799740739894,-47.36758184884564,-0.0023664470399814537,-0.003782116934553695,40.442019138877,16.82140755601966,21.12245717762614,5.716418490108979,2.725376525542271
-186.38540886796986,125.59658245832253,-28.13823877959575,7.779164956222507e-05,-3.1944550985337985e-06,71.22581447209622,27.767527255415978,18.53593885460245,7.3863193891682375,3.773040599839131
-274.45199584143006,166.65253411051927,-64.70450817098877,9.479715678164758e-16,-3.4890069774934363e-15,77.58343151905918,31.06977465166463,25.552740603264855,8.5364474610305,4.031910640830656
-144.20637682320756,125.39117016353461,-26.56589258933822,-0.00013009577192156526,-8.957517947488772e-05,104.47733191530583,38.74995489706746,23.13846746442851,11.6770797476744,5.356924474410379
-262.47935604708937,196.66309364508712,-67.14680301749611,-0.006490227660362467,-0.0012557788034520685,50.71987748925449,24.565931927543534,34.38741145940916,2.8217260971320246,1.4380862728109003
-190.55742535587584,192.93360966162535,-15.213036162732072,0.0002631318058641681,0.00017047940748547052,52.64216519512984,31.00004872339608,22.203714195862705,4.3735253158720315,2.3780830479121184
-183.53098410685004,119.3190690118757,-55.60060715805079,5.893313989271817e-16,-2.6984086598199625e-15,76.15344063753578,38.445577949894115,24.076799809689266,10.863492566889017,5.141415672389557
-236.78548678948056,129.07167511550236,-36.24598961966347,3.063430760474327e-06,-0.00015442680613665717,99.52003611039403,42.70595678664383,28.340978058543037,8.423314061862209,4.158563951451632
